Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
12/2017 - 2/2018,Female,9.1,3.9,1.7,1.9,2.0,1.2,2.3
12/2017 - 2/2018,Both sexes,9.9,5.0,2.0,2.0,2.4,1.7,2.7
1/2018 - 3/2018,Male,10.9,6.6,2.4,2.4,2.9,2.5,3.3
1/2018 - 3/2018,Female,8.5,4.2,1.6,1.9,2.2,1.2,2.3
1/2018 - 3/2018,Both sexes,9.6,5.3,1.9,2.1,2.6,2.0,2.8
2/2018 - 4/2018,Male,8.5,6.0,2.3,2.4,3.0,2.2,3.2
2/2018 - 4/2018,Female,8.4,4.6,1.8,2.2,2.0,1.7,2.5
2/2018 - 4/2018,Both sexes,8.4,5.3,2.0,2.3,2.5,2.0,2.8
3/2018 - 5/2018,Male,11.4,6.1,2.1,2.6,3.2,1.9,3.2
3/2018 - 5/2018,Female,9.3,4.3,1.7,2.2,2.2,1.4,2.5
3/2018 - 5/2018,Both sexes,10.3,5.2,1.9,2.4,2.7,1.7,2.8
4/2018 - 6/2018,Male,12.8,6.2,2.4,2.6,2.9,1.7,3.2
4/2018 - 6/2018,Female,11.8,4.5,1.8,1.8,2.1,2.0,2.5
4/2018 - 6/2018,Both sexes,12.2,5.3,2.1,2.2,2.5,1.8,2.8
5/2018 - 7/2018,Male,13.6,6.8,2.5,2.5,2.7,1.7,3.2
5/2018 - 7/2018,Female,11.7,4.9,1.8,1.8,2.0,1.6,2.5
5/2018 - 7/2018,Both sexes,12.6,5.8,2.1,2.1,2.4,1.7,2.9
6/2018 - 8/2018,Male,13.2,7.0,2.4,2.6,2.3,2.2,3.3
6/2018 - 8/2018,Female,11.4,5.6,1.7,1.8,1.9,1.7,2.6
6/2018 - 8/2018,Both sexes,12.2,6.3,2.0,2.2,2.1,2.0,2.9
7/2018 - 9/2018,Male,12.3,7.3,2.2,2.5,2.5,2.3,3.3
7/2018 - 9/2018,Female,9.3,5.5,1.5,2.1,2.0,1.7,2.6
7/2018 - 9/2018,Both sexes,10.6,6.3,1.8,2.3,2.3,2.1,2.9
8/2018 - 10/2018,Male,13.3,7.1,2.2,2.8,2.8,2.5,3.4
8/2018 - 10/2018,Female,7.3,4.9,1.3,1.9,2.1,1.8,2.4
8/2018 - 10/2018,Both sexes,10.1,5.9,1.7,2.3,2.5,2.3,2.9
9/2018 - 11/2018,Male,12.5,6.3,2.3,2.5,2.9,2.4,3.2
9/2018 - 11/2018,Female,5.0,4.5,1.5,1.9,2.3,1.5,2.3
9/2018 - 11/2018,Both sexes,8.5,5.3,1.8,2.2,2.6,2.1,2.8
10/2018 - 12/2018,Male,10.9,6.1,2.2,2.3,3.0,2.1,3.1
10/2018 - 12/2018,Female,7.1,3.9,1.5,1.9,2.0,1.3,2.2
10/2018 - 12/2018,Both sexes,9.0,5.0,1.8,2.1,2.5,1.9,2.7
11/2018 - 1/2019,Male,8.2,6.5,1.9,2.2,2.9,2.3,3.1
11/2018 - 1/2019,Female,8.2,3.6,1.4,1.5,2.1,1.6,2.1
11/2018 - 1/2019,Both sexes,8.2,5.0,1.6,1.8,2.5,2.0,2.6
12/2018 - 2/2019,Male,6.5,6.8,1.8,2.3,2.9,2.6,3.1
12/2018 - 2/2019,Female,10.9,3.2,1.3,1.7,2.1,2.0,2.0
12/2018 - 2/2019,Both sexes,8.8,4.9,1.5,2.0,2.5,2.4,2.6
1/2019 - 3/2019,Male,7.4,6.6,2.5,2.7,3.3,2.6,3.4
1/2019 - 3/2019,Female,7.8,3.5,1.6,1.7,1.9,2.0,2.1
1/2019 - 3/2019,Both sexes,7.6,5.0,2.0,2.2,2.6,2.4,2.8
2/2019 - 4/2019,Male,8.1,6.1,2.5,2.8,3.1,2.7,3.4
2/2019 - 4/2019,Female,7.2,3.5,1.9,2.1,1.8,2.1,2.2
2/2019 - 4/2019,Both sexes,7.7,4.7,2.2,2.4,2.5,2.5,2.8
3/2019 - 5/2019,Male,10.9,6.4,2.8,2.9,3.2,2.6,3.5
3/2019 - 5/2019,Female,5.1,3.7,1.9,1.9,1.7,1.6,2.2
3/2019 - 5/2019,Both sexes,8.0,5.0,2.3,2.3,2.5,2.2,2.9
4/2019 - 6/2019,Male,12.3,6.7,2.5,2.7,3.2,2.5,3.5
4/2019 - 6/2019,Female,8.0,3.8,1.7,2.0,1.9,1.4,2.2
4/2019 - 6/2019,Both sexes,10.1,5.2,2.1,2.4,2.6,2.1,2.9
5/2019 - 7/2019,Male,14.9,7.1,2.9,2.8,3.1,2.3,3.6
5/2019 - 7/2019,Female,9.9,4.4,1.9,1.8,1.9,1.4,2.3
5/2019 - 7/2019,Both sexes,12.4,5.7,2.3,2.3,2.5,2.0,3.0
6/2019 - 8/2019,Male,16.2,7.2,2.8,2.9,2.9,2.0,3.6
6/2019 - 8/2019,Female,11.7,4.8,2.0,1.8,1.9,1.3,2.4
6/2019 - 8/2019,Both sexes,14.0,5.9,2.4,2.3,2.4,1.8,3.0
7/2019 - 9/2019,Male,14.4,7.2,2.7,2.3,3.0,2.4,3.5
7/2019 - 9/2019,Female,9.5,4.7,2.0,1.9,2.1,1.8,2.5
7/2019 - 9/2019,Both sexes,12.1,5.9,2.3,2.1,2.6,2.2,3.0
8/2019 - 10/2019,Male,13.9,7.4,2.7,2.3,3.6,2.9,3.7
8/2019 - 10/2019,Female,8.0,5.1,1.8,2.1,2.1,1.8,2.6
8/2019 - 10/2019,Both sexes,11.0,6.2,2.2,2.2,2.9,2.5,3.1
9/2019 - 11/2019,Male,12.2,7.0,2.6,2.3,3.9,3.3,3.7
9/2019 - 11/2019,Female,7.7,5.0,1.6,2.1,2.2,2.3,2.6
9/2019 - 11/2019,Both sexes,10.0,6.0,2.1,2.2,3.1,3.0,3.1
10/2019 - 12/2019,Male,13.4,6.7,2.8,2.9,3.8,3.1,3.8
10/2019 - 12/2019,Female,7.3,5.0,1.7,1.7,2.3,2.0,2.5
10/2019 - 12/2019,Both sexes,10.4,5.8,2.2,2.3,3.1,2.7,3.1
11/2019 - 1/2020,Male,15.9,6.1,2.7,3.2,3.7,2.9,3.7
11/2019 - 1/2020,Female,8.0,4.9,1.7,1.8,2.1,2.5,2.5
11/2019 - 1/2020,Both sexes,12.2,5.5,2.2,2.5,2.9,2.7,3.1
12/2019 - 2/2020,Male,16.1,7.1,3.3,3.9,4.1,3.1,4.3
12/2019 - 2/2020,Female,6.9,5.2,1.7,2.4,2.5,2.9,2.8
12/2019 - 2/2020,Both sexes,11.7,6.1,2.4,3.1,3.4,3.1,3.5
1/2020 - 3/2020,Male,16.4,7.8,4.0,4.5,4.9,4.0,5.0
1/2020 - 3/2020,Female,9.4,6.0,2.3,3.3,3.1,3.5,3.5
1/2020 - 3/2020,Both sexes,12.9,6.8,3.0,3.8,4.1,3.8,4.2
2/2020 - 4/2020,Male,13.6,9.4,5.2,5.2,5.9,4.9,6.0
2/2020 - 4/2020,Female,11.2,6.9,3.2,3.7,4.9,3.9,4.4
2/2020 - 4/2020,Both sexes,12.4,8.1,4.1,4.4,5.4,4.5,5.2
3/2020 - 5/2020,Male,18.2,10.7,5.9,5.6,7.3,6.0,6.9
3/2020 - 5/2020,Female,13.4,7.9,3.8,4.1,5.4,4.2,5.0
3/2020 - 5/2020,Both sexes,16.0,9.2,4.7,4.8,6.4,5.4,6.0
4/2020 - 6/2020,Male,19.8,11.7,6.0,5.6,7.7,6.5,7.3
4/2020 - 6/2020,Female,17.5,8.3,3.7,4.2,5.7,4.7,5.2
4/2020 - 6/2020,Both sexes,18.7,9.9,4.7,4.8,6.7,5.9,6.2
5/2020 - 7/2020,Male,23.4,12.8,5.6,5.7,8.5,6.3,7.6
5/2020 - 7/2020,Female,23.5,8.2,3.5,4.1,4.9,4.2,4.9
5/2020 - 7/2020,Both sexes,23.5,10.4,4.4,4.8,6.7,5.6,6.2
6/2020 - 8/2020,Male,27.5,13.8,5.6,5.5,8.0,6.1,7.6
6/2020 - 8/2020,Female,23.1,9.4,3.7,4.0,4.7,4.3,5.1
6/2020 - 8/2020,Both sexes,25.2,11.5,4.6,4.7,6.4,5.5,6.4
7/2020 - 9/2020,Male,29.2,13.8,5.9,5.7,8.4,5.9,7.8
7/2020 - 9/2020,Female,22.9,10.1,3.7,4.1,4.9,4.1,5.3
7/2020 - 9/2020,Both sexes,26.0,11.9,4.7,4.9,6.7,5.3,6.5
8/2020 - 10/2020,Male,26.4,13.8,5.6,5.8,8.3,6.4,7.8
8/2020 - 10/2020,Female,17.7,10.1,3.6,4.2,5.1,4.3,5.3
8/2020 - 10/2020,Both sexes,22.2,11.9,4.5,4.9,6.7,5.6,6.5
9/2020 - 11/2020,Male,22.1,13.3,5.0,6.0,8.3,6.1,7.5
9/2020 - 11/2020,Female,12.7,8.7,3.7,3.8,5.0,3.4,4.8
9/2020 - 11/2020,Both sexes,17.5,10.9,4.3,4.8,6.7,5.1,6.2
10/2020 - 12/2020,Male,22.5,13.8,4.8,6.2,8.2,5.9,7.6
10/2020 - 12/2020,Female,12.7,8.7,4.1,3.7,4.8,4.7,5.0
10/2020 - 12/2020,Both sexes,17.9,11.2,4.4,4.9,6.6,5.5,6.3
11/2020 - 1/2021,Male,24.0,12.9,5.5,6.7,8.5,6.0,7.8
11/2020 - 1/2021,Female,8.6,8.6,4.0,4.1,5.7,4.9,5.3
11/2020 - 1/2021,Both sexes,16.9,10.7,4.7,5.3,7.2,5.6,6.5
12/2020 - 2/2021,Male,22.4,11.8,5.6,6.9,8.8,6.7,7.8
12/2020 - 2/2021,Female,11.6,9.3,4.3,4.4,6.0,5.4,5.6
12/2020 - 2/2021,Both sexes,17.6,10.5,4.9,5.5,7.4,6.2,6.7
1/2021 - 3/2021,Male,19.1,10.7,6.0,6.7,9.1,7.5,7.9
1/2021 - 3/2021,Female,13.1,8.1,4.5,4.5,6.3,5.1,5.6
1/2021 - 3/2021,Both sexes,16.3,9.3,5.2,5.5,7.7,6.7,6.7
2/2021 - 4/2021,Male,22.4,10.7,5.9,6.3,8.0,7.1,7.5
2/2021 - 4/2021,Female,11.7,7.8,4.4,4.6,5.5,5.4,5.4
2/2021 - 4/2021,Both sexes,17.0,9.2,5.1,5.4,6.8,6.5,6.4
3/2021 - 5/2021,Male,21.0,10.9,6.1,5.8,7.4,6.8,7.2
3/2021 - 5/2021,Female,7.6,6.5,3.7,4.2,5.9,4.8,4.9
3/2021 - 5/2021,Both sexes,14.0,8.6,4.8,5.0,6.7,6.1,6.0
4/2021 - 6/2021,Male,22.9,10.8,5.6,5.5,6.4,5.8,6.6
4/2021 - 6/2021,Female,13.8,6.2,3.1,4.1,5.4,3.5,4.4
4/2021 - 6/2021,Both sexes,18.1,8.4,4.2,4.7,5.9,4.9,5.5
5/2021 - 7/2021,Male,21.3,10.7,5.2,5.6,6.2,4.9,6.4
5/2021 - 7/2021,Female,15.2,6.7,2.9,3.1,4.3,2.9,3.9
5/2021 - 7/2021,Both sexes,18.2,8.6,3.9,4.3,5.3,4.1,5.1
6/2021 - 8/2021,Male,20.6,10.6,4.7,4.8,5.7,4.0,5.9
6/2021 - 8/2021,Female,18.6,7.1,2.9,2.9,3.9,3.0,3.9
6/2021 - 8/2021,Both sexes,19.6,8.8,3.7,3.8,4.8,3.7,4.9
7/2021 - 9/2021,Male,18.0,10.9,4.3,4.5,4.9,3.9,5.5
7/2021 - 9/2021,Female,15.1,7.4,2.9,2.8,3.6,3.0,3.8
7/2021 - 9/2021,Both sexes,16.5,9.1,3.5,3.6,4.3,3.6,4.7
8/2021 - 10/2021,Male,15.1,10.0,4.0,4.0,4.7,3.8,5.1
8/2021 - 10/2021,Female,15.9,6.4,2.9,3.0,3.6,3.3,3.8
8/2021 - 10/2021,Both sexes,15.5,8.2,3.4,3.5,4.2,3.6,4.5
9/2021 - 11/2021,Male,14.6,8.8,3.8,4.1,4.5,3.8,4.8
9/2021 - 11/2021,Female,12.2,5.7,2.6,3.0,3.2,3.3,3.5
9/2021 - 11/2021,Both sexes,13.2,7.2,3.2,3.5,3.9,3.6,4.1
10/2021 - 12/2021,Male,16.2,7.3,3.5,3.7,4.4,3.5,4.4
10/2021 - 12/2021,Female,8.8,5.0,2.5,2.8,3.1,2.7,3.2
10/2021 - 12/2021,Both sexes,11.9,6.1,3.0,3.2,3.7,3.2,3.8
11/2021 - 1/2022,Male,14.4,6.5,3.3,3.5,4.4,3.8,4.2
11/2021 - 1/2022,Female,8.0,4.7,2.1,2.5,3.2,2.6,3.0
11/2021 - 1/2022,Both sexes,10.7,5.6,2.7,3.0,3.8,3.4,3.6
12/2021 - 2/2022,Male,16.7,6.7,4.0,4.2,5.5,4.4,4.9
12/2021 - 2/2022,Female,13.4,5.2,2.5,3.3,3.8,3.1,3.5
12/2021 - 2/2022,Both sexes,14.8,6.0,3.2,3.7,4.7,3.9,4.2
1/2022 - 3/2022,Male,16.5,8.4,4.7,4.9,6.8,5.5,6.0
1/2022 - 3/2022,Female,12.3,6.0,2.8,3.6,4.3,4.0,4.0
1/2022 - 3/2022,Both sexes,14.3,7.2,3.7,4.2,5.5,4.9,5.0
2/2022 - 4/2022,Male,19.0,9.0,5.4,5.5,7.1,5.5,6.4
2/2022 - 4/2022,Female,15.4,6.4,3.4,4.2,4.9,4.6,4.5
2/2022 - 4/2022,Both sexes,17.2,7.7,4.3,4.8,6.0,5.1,5.5
3/2022 - 5/2022,Male,13.8,9.1,5.1,5.2,6.2,5.5,6.0
3/2022 - 5/2022,Female,11.4,6.5,3.2,3.5,4.7,3.9,4.2
3/2022 - 5/2022,Both sexes,12.8,7.7,4.0,4.3,5.5,4.9,5.1
4/2022 - 6/2022,Male,22.9,8.2,4.5,4.9,5.4,4.9,5.5
4/2022 - 6/2022,Female,13.4,6.4,3.1,3.6,4.3,3.5,4.1
4/2022 - 6/2022,Both sexes,18.4,7.3,3.7,4.2,4.8,4.4,4.8
5/2022 - 7/2022,Male,19.9,8.7,4.2,4.3,5.2,4.8,5.3
5/2022 - 7/2022,Female,15.3,6.3,2.9,3.0,3.9,2.8,3.7
5/2022 - 7/2022,Both sexes,17.5,7.4,3.5,3.6,4.5,4.1,4.5
6/2022 - 8/2022,Male,21.7,9.0,4.1,3.9,5.0,4.5,5.1
6/2022 - 8/2022,Female,16.0,6.1,2.8,2.6,3.5,2.7,3.5
6/2022 - 8/2022,Both sexes,18.7,7.5,3.4,3.2,4.2,3.8,4.3
7/2022 - 9/2022 p,Male,17.3,9.0,3.9,3.6,4.7,4.3,4.9
7/2022 - 9/2022 p,Female,15.0,6.4,2.6,2.3,3.3,2.6,3.3
7/2022 - 9/2022 p,Both sexes,16.1,7.7,3.2,2.9,4.0,3.6,4.1
,,,,,,,,
Note(s) :,,,,,,,,
"Starting from 2001, annual figures are compiled based on data collected in the General Household Survey from January to December of the year concerned as well as the mid-year population estimates.",,,,,,,,
[*7] Figure is not released due to relatively large sampling error.,,,,,,,,
N.A. Not available,,,,,,,,
p Provisional figure,,,,,,,,
,,,,,,,,
Source :,,,,,,,,
General Household Survey,,,,,,,,
"General Household Survey Section (3),",,,,,,,,
Census and Statistics Department,,,,,,,,
(Enquiry telephone no. : 2887 5508,,,,,,,,
Enquiry e-mail : ghs@censtatd.gov.hk),,,,,,,,
,,,,,,,,
"Release Date: 20 October, 2022",,,,,,,,
